Date_Range,IS,IV,RA
2022-09-21 to 2022-09-27,0.693529186,0.127059754,0.957209051
2022-09-28 to 2022-10-04,0.500332624,0.057194703,0.94262539
2022-10-05 to 2022-10-11,0.527546694,0.083344636,0.893415183
2022-10-12 to 2022-10-18,0.59384348,0.089441122,0.945319187
2022-10-19 to 2022-10-25,0.592887782,0.086393244,0.934961187
2022-10-26 to 2022-11-01,0.615196834,0.086685059,0.958283724
2022-11-02 to 2022-11-08,0.552785388,0.08107639,0.911547855
2022-11-09 to 2022-11-15,0.555176137,0.070587983,0.944386426
2022-11-16 to 2022-11-22,0.619685201,0.118980639,0.964346047
2022-11-23 to 2022-11-29,0.536640229,0.092151691,0.92989999
2022-11-30 to 2022-12-06,0.586073118,0.094099957,0.964583689
2022-12-07 to 2022-12-13,0.638174881,0.067000423,0.944270518
2022-12-14 to 2022-12-20,0.513177539,0.064403768,0.943688806
2022-12-21 to 2022-12-27,0.446437409,0.078244237,0.906383135
2022-12-28 to 2023-01-03,0.534150513,0.075640478,0.942710065
2023-01-04 to 2023-01-10,0.535716714,0.068244414,0.931917281
2023-01-11 to 2023-01-17,0.543703042,0.101871399,0.921922106
2023-01-18 to 2023-01-24,0.598338619,0.115151486,0.930822885
2023-01-25 to 2023-01-31,0.431850628,0.090038959,0.881814886
2023-02-01 to 2023-02-07,0.621097538,0.093259511,0.963516149
2023-02-08 to 2023-02-14,0.588708021,0.077562774,0.963170628
2023-02-15 to 2023-02-21,0.572344294,0.101894189,0.958608976
2023-02-22 to 2023-02-28,0.504727983,0.073989868,0.92228444
2023-03-01 to 2023-03-07,0.187553743,0.040270393,0.953697784
2023-03-08 to 2023-03-14,NA,NA,NA
2023-03-15 to 2023-03-21,NA,NA,NA
2023-03-22 to 2023-03-28,NA,NA,NA
2023-03-29 to 2023-04-04,NA,NA,NA
2023-04-05 to 2023-04-11,NA,NA,NA
2023-04-12 to 2023-04-18,0.091971627,0.024171548,1.097277954
2023-04-19 to 2023-04-25,0.567193995,0.082638403,0.918037
2023-04-26 to 2023-05-02,0.570530141,0.097673981,0.931472368
2023-05-03 to 2023-05-09,0.614025941,0.07820334,0.948221658
2023-05-10 to 2023-05-16,0.34421444,0.046717938,0.939724628
2023-05-17 to 2023-05-23,NA,NA,NA
2023-05-24 to 2023-05-30,NA,NA,NA
2023-05-31 to 2023-06-06,NA,NA,NA
2023-06-07 to 2023-06-13,NA,NA,NA
2023-06-14 to 2023-06-20,NA,NA,NA
2023-06-21 to 2023-06-27,NA,NA,NA
2023-06-28 to 2023-07-04,0.438127034,0.06215506,0.94356083
2023-07-05 to 2023-07-11,0.620580093,0.088805084,0.92929355
2023-07-12 to 2023-07-18,0.54924855,0.054944559,0.901909576
2023-07-19 to 2023-07-25,0.472116865,0.07785424,0.891911257
2023-07-26 to 2023-08-01,0.295490292,0.045982776,0.935780621
2023-08-02 to 2023-08-08,NA,NA,NA
2023-08-09 to 2023-08-15,0.121274618,0.048806813,NA
2023-08-16 to 2023-08-22,0.153204163,0.053676847,0.948446496
2023-08-23 to 2023-08-29,0.611353011,0.115976334,0.921277448
2023-08-30 to 2023-09-05,0.530526645,0.084786759,0.946910256
2023-09-06 to 2023-09-12,0.604300972,0.074580689,0.928212167
2023-09-13 to 2023-09-19,0.620476332,0.119974332,0.949066975
2023-09-20 to 2023-09-26,0.554590195,0.069310606,0.937306307
2023-09-27 to 2023-10-03,0.529630601,0.082145331,0.934681746
2023-10-04 to 2023-10-10,0.571349903,0.078598863,0.945673146
2023-10-11 to 2023-10-17,0.621463478,0.091475598,0.943531666
2023-10-18 to 2023-10-24,0.61420045,0.087978602,0.947445848
2023-10-25 to 2023-10-31,0.591486356,0.098304307,0.957614491
2023-11-01 to 2023-11-07,0.627767107,0.113746294,0.951124923
2023-11-08 to 2023-11-14,0.580566461,0.087669182,0.938030261
2023-11-15 to 2023-11-21,0.630363866,0.114986565,0.943389658
2023-11-22 to 2023-11-28,0.559716338,0.088037264,0.853719848
2023-11-29 to 2023-12-05,0.597548927,0.084375174,0.938718395
2023-12-06 to 2023-12-12,0.567749202,0.070514982,0.949401058
2023-12-13 to 2023-12-19,0.602722491,0.103225981,0.951165314
2023-12-20 to 2023-12-26,0.619487492,0.094977469,0.945431554
2023-12-27 to 2024-01-02,0.583074298,0.086190531,0.939706267
2024-01-03 to 2024-01-09,0.540885032,0.044874434,0.937981393
2024-01-10 to 2024-01-16,0.556649822,0.087114526,0.936169264
2024-01-17 to 2024-01-23,0.558179934,0.081944382,0.962951956
2024-01-24 to 2024-01-30,0.623450816,0.097431578,0.957959991
2024-01-31 to 2024-02-06,0.605662957,0.086193676,0.951105942
2024-02-07 to 2024-02-13,0.647357538,0.118154081,0.938851133
2024-02-14 to 2024-02-20,0.625136498,0.130561736,0.9225527
2024-02-21 to 2024-02-27,0.645810382,0.116129091,0.953323766
2024-02-28 to 2024-03-05,0.567023594,0.066741883,0.938997878
2024-03-06 to 2024-03-12,0.617621141,0.08756239,0.930114832
2024-03-13 to 2024-03-19,0.572077404,0.086056741,0.931907712
2024-03-20 to 2024-03-26,0.615453956,0.112332234,0.916546805
2024-03-27 to 2024-04-02,0.51163438,0.075515996,0.942958499
2024-04-03 to 2024-04-09,0.619573752,0.078225667,0.933161463
2024-04-10 to 2024-04-16,0.549154201,0.069431982,0.938074194
2024-04-17 to 2024-04-23,0.614623703,0.106527723,0.919022033
2024-04-24 to 2024-04-30,0.54234553,0.059767531,0.946642566
2024-05-01 to 2024-05-07,0.602537999,0.058890797,0.940589922
2024-05-08 to 2024-05-14,0.618476767,0.072509941,0.951357084
2024-05-15 to 2024-05-21,0.220978779,0.0664026,0.480667877
2024-05-22 to 2024-05-28,0.45741325,0.099332404,0.639610271
2024-05-29 to 2024-06-04,0.544650203,0.067407734,0.932134981
2024-06-05 to 2024-06-11,0.579024113,0.067942217,0.94753274
2024-06-12 to 2024-06-18,0.575818981,0.068157312,0.942437405
2024-06-19 to 2024-06-25,0.641116799,0.102016523,0.934322744
2024-06-26 to 2024-07-02,0.398358809,0.037146076,0.913417653
2024-07-03 to 2024-07-09,0.555638095,0.060756276,0.945574785
2024-07-10 to 2024-07-16,0.573973379,0.070483676,0.929413628
2024-07-17 to 2024-07-23,0.462790293,0.063412229,0.851266051
2024-07-24 to 2024-07-30,0.41692431,0.095063113,0.921011878
2024-07-31 to 2024-08-06,0.152057877,0.027032674,0.949047186
2024-08-07 to 2024-08-13,0.546968232,0.093785457,0.922315657
2024-08-14 to 2024-08-20,0.501939523,0.079221047,0.941069212
